Unnamed: 0,url,proxy,comment,title,text,date,note
2164.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 8 (page 113),Merci Octopus pour vos tarifs et pour…,"Octopus tarif récompense éco-session . déçu , an . Société sérieux .",19 déc. 2024,5
4699.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 17 (page 241),Rien à dire,"rien , parfaire",29 oct. 2020,5
760.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 20 (page 41),Très satisfaite de cette société…,"client année entreprise , changer chaudière condensation ballon eau chaude . 
 bien régler , consommation triplé total energie occuper problème changer compteur gaz proposer contrat entretien . content société .",26 nov. 2023,5
1645.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 9 (page 87),On me demande mon avis alors que je…,demande avis venir rentrer . temps opinion pertinent .,30 déc. 2024,3
5404.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 3 (page 282),Recherche à satisfaire le client,date expérience : 22 octobre 2024,23 oct. 2024,5
1190.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 14 (page 64),Nous sommes clients depuis peu,"être client , début janvier 2025 , service commercial réactif",9 janv. 2025,5
2783.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 1 (page 144),Tout s'est très bien passé,"bien passer : simulation , information formule , formule choisie , envoi contrat , présentation site convivial , rappel conseiller .",14 nov. 2021,5
,https://fr.trustpilot.com/review/eni.fr,gw-eu.lemonclub.io,comment 1 (page 35),Une arnaque faite attention j’ai passé…,arnaque faite attention passer contrat 4 recevoir aucun facture aucun mail venir demander payer 1080 euro vie studio 23 m2 cher mois mécontent appeler payer oubli 😡,24 mai 2021,1
1454.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 12 (page 77),Je vais retourner chez EDF,"service client incompétent , 30 minute attente remettre attente vérifier dossier . 10 tard tjrs reprendre appel . tentative réussir qqun , français approximatif , répéter chose boucle , content faire minimum . jamais , franchement écœurer donner argent duremer gagner pareil .",18 oct. 2022,1
1211.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 15 (page 65),Rapide et efficace,rapide efficace,9 janv. 2025,5
1471.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 15 (page 78),Rien à redire.,"rien redire . 
 service client client compétent charmant ! 

 gros conseiller souscrire contrat complètement transparent . 

 Vive octopus",3 janv. 2025,5
2224.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 2 (page 116),L'honnêteté,date expérience : 22 mars 2022,22 mars 2022,5
3428.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 19 (page 180),Fournisseur irréprochable,"année Octopus , service vraiment irréprochable . trouvable facilement lisible site internet , équipe réactif cas besoin moduler contrat ouvrir . économie session vrai plus système cagnotte dépanner cas mois difficile . équipe communiquer moindre changement , niveau tarif réglementation . faute , offre vert fiable !",10 déc. 2024,5
2883.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 20 (page 151),Informations concises et claires,date expérience : 12 décembre 2024,13 déc. 2024,5
1054.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 18 (page 57),Inscription très fluide,inscription fluide,12 janv. 2025,5
3232.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 9 (page 170),Impeccable,"apprécier qualité communication , clair propos .",12 déc. 2024,5
4544.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 2 (page 234),Voleur,"voleur ! arriver perdre paiement carte bleu ! bizarement numéro transaction donner plateform paiement exister . être harceler téléphone 4fois jour fixe portable , courrier relance e mail avertir restriction . honte ! payer fois facture ... vraiment Chi .. er enrichir , ... service client déplorable , trouver aucun solution problème part procéder paiement . appel médiateur ... affaire",1 déc. 2020,1
3236.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 13 (page 170),GESTION DES CHEQUES TROP LENTE,"gestion chèque positivement infernal , trop retard .",12 déc. 2024,2
4725.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 15 (page 246),offre gaz Octopus,"kevin professionnalisme persévérance finaliser dossier offrir gaz Octopus nous' arriver ( problème connexion ) 
 Nicole et Patrick",8 nov. 2024,5
2590.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 11 (page 135),Au top,"rien , économie , garanti , bon équipe",16 déc. 2024,5
1630.0,https://fr.trustpilot.com/review/octopusenergy.fr,gw-eu.lemonclub.io,comment 14 (page 86),Très bien sauf le suivi conso qui n'est…,"bien suivi conso optimal 
 énergie vert , service client réactif joignable , tarif attractif",31 déc. 2024,4
3353.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 11 (page 173),Super et rapide,date expérience : 29 juillet 2021,29 juil. 2021,5
4.0,https://fr.trustpilot.com/review/eni.fr,gw-eu.lemonclub.io,comment 5 (page 1),Service client inacceptable,"service client inacceptable . voleur , conseiller mal éduquer , raccrocher nez , rappeler 30 fois 4 ( ! ) jour . aucun suivi , aucun transparence prix . fuir absolument . bascule plenitude sur-facturé 150 euro aucun raison . voleur !",22 janv. 2025,1
2457.0,https://fr.trustpilot.com/review/totalenergies.fr,gw-eu.lemonclub.io,comment 15 (page 127),Fluide clair et rapide,"fluide clair rapide , ok erreur prénom pourtant épeler dizaine fois … compliquer 😀 : Didier",23 janv. 2022,4
